Admin2,Province_State
Lane,Oregon
Deschutes,Oregon
Jackson,Oregon
Linn,Oregon
Umatilla,Oregon
Douglas,Oregon
Philadelphia,Pennsylvania
Allegheny,Pennsylvania
Montgomery,Pennsylvania
Bucks,Pennsylvania
Lancaster,Pennsylvania
York,Pennsylvania
Delaware,Pennsylvania
Berks,Pennsylvania
Chester,Pennsylvania
Lehigh,Pennsylvania
Providence,Rhode Island
Kent,Rhode Island
Washington,Rhode Island
Newport,Rhode Island
Bristol,Rhode Island
Greenville,South Carolina
Richland,South Carolina
Charleston,South Carolina
Horry,South Carolina
Lexington,South Carolina
Spartanburg,South Carolina
York,South Carolina
Anderson,South Carolina
Dorchester,South Carolina
Berkeley,South Carolina
Minnehaha,South Dakota
Pennington,South Dakota
Lincoln,South Dakota
Brown,South Dakota
Codington,South Dakota
Brookings,South Dakota
Meade,South Dakota
Lawrence,South Dakota
Davison,South Dakota
Yankton,South Dakota
Shelby,Tennessee
Davidson,Tennessee
Knox,Tennessee
Hamilton,Tennessee
Rutherford,Tennessee
Williamson,Tennessee
Sumner,Tennessee
Montgomery,Tennessee
Sullivan,Tennessee
Wilson,Tennessee
Harris,Texas
Dallas,Texas
Tarrant,Texas
Bexar,Texas
Travis,Texas
El Paso,Texas
Collin,Texas
Hidalgo,Texas
Fort Bend,Texas
Denton,Texas
Salt Lake,Utah
Utah,Utah
Davis,Utah
Tooele,Utah
Summit,Utah
Wasatch,Utah
San Juan,Utah
Chittenden,Vermont
Rutland,Vermont
Bennington,Vermont
Washington,Vermont
Franklin,Vermont
Windsor,Vermont
Windham,Vermont
Orleans,Vermont
Caledonia,Vermont
Addison,Vermont
Fairfax,Virginia
Prince William,Virginia
Virginia Beach,Virginia
Chesterfield,Virginia
Loudoun,Virginia
Henrico,Virginia
Chesapeake,Virginia
Richmond City,Virginia
Norfolk,Virginia
Arlington,Virginia
King,Washington
Pierce,Washington
Snohomish,Washington
Spokane,Washington
Clark,Washington
Yakima,Washington
Benton,Washington
Thurston,Washington
Kitsap,Washington
Whatcom,Washington
Kanawha,West Virginia
Berkeley,West Virginia
Cabell,West Virginia
Monongalia,West Virginia
Wood,West Virginia
Raleigh,West Virginia
Harrison,West Virginia
Putnam,West Virginia
Mercer,West Virginia
Jefferson,West Virginia
Milwaukee,Wisconsin
Dane,Wisconsin
Waukesha,Wisconsin
Brown,Wisconsin
Racine,Wisconsin
Outagamie,Wisconsin
Winnebago,Wisconsin
Kenosha,Wisconsin
Rock,Wisconsin
Marathon,Wisconsin
Laramie,Wyoming
Natrona,Wyoming
Fremont,Wyoming
Campbell,Wyoming
Sweetwater,Wyoming
Albany,Wyoming
Teton,Wyoming
Sheridan,Wyoming
Park,Wyoming
Uinta,Wyoming
